numDots,subdomainLevel,pathLevel,urlLength,numDash,numUnderscore,numPercent,numQueryComponents,numApersand,numDigits,https,ipAddress,hostnameLength,pathLength,queryLength,type
1,0,3,86,1,0,18,1,0,18,1,0,6,66,6,0
6,1,1,119,1,0,6,2,1,8,0,0,13,4,94,1
4,0,2,66,0,1,2,0,0,18,0,1,14,45,0,1
3,0,3,71,3,0,0,0,0,0,0,0,16,48,0,1
4,2,5,64,1,0,0,0,0,0,1,0,27,30,0,1
5,0,1,35,2,0,0,0,0,13,0,1,14,14,0,1
2,0,3,66,0,0,0,0,0,0,1,0,24,35,0,0
5,1,4,168,0,0,0,5,4,40,0,0,26,27,107,1
3,0,5,79,4,0,0,0,0,6,0,0,9,63,0,1
1,0,4,148,4,0,36,0,0,47,0,0,9,132,0,0
5,2,3,47,0,0,0,0,0,5,0,0,17,23,0,1
3,1,4,50,0,0,0,0,0,1,1,0,15,28,0,0
3,1,1,49,2,0,0,0,1,6,1,0,27,15,0,1
1,0,7,104,4,0,0,0,0,13,1,0,11,86,0,0
2,1,3,50,2,0,0,0,0,0,0,0,13,30,0,1
2,0,2,87,8,0,0,0,0,0,1,0,12,68,0,0
2,0,7,59,0,2,0,0,0,7,1,0,10,42,0,1
2,1,2,41,0,0,0,0,0,4,0,0,21,13,0,1
3,1,2,46,2,0,0,0,0,0,0,0,17,22,0,1
2,1,1,138,0,1,0,5,4,6,0,0,30,24,76,1
4,0,2,133,0,3,0,3,2,26,0,0,22,18,85,1
3,1,1,48,2,0,0,0,0,1,0,0,23,18,0,1
1,0,1,38,0,1,0,1,0,1,1,0,11,6,13,0
4,1,4,52,0,0,0,0,0,13,1,0,23,22,0,1
4,1,4,57,0,0,0,0,0,13,0,0,28,22,0,1
2,1,2,34,0,0,0,0,0,4,1,0,14,13,0,1
4,1,1,59,0,0,0,2,1,2,0,0,18,13,20,1
1,0,2,47,2,0,0,0,0,0,1,0,11,29,0,0
1,0,2,35,0,0,0,0,0,0,1,0,12,16,0,0
2,0,2,71,3,0,0,0,0,4,0,0,21,43,0,1
2,0,3,47,0,0,0,0,0,0,0,0,14,26,0,1
3,1,1,262,0,1,0,4,3,29,1,0,14,10,230,1
2,0,2,53,0,2,0,0,0,11,1,0,13,33,0,1
2,1,1,51,1,0,0,0,0,0,1,0,40,4,0,0
1,0,3,106,10,0,0,0,0,10,1,0,14,85,0,0
2,1,0,31,0,0,0,0,0,0,1,0,23,1,0,0
4,0,2,37,0,0,0,0,0,12,0,1,13,17,0,1
4,0,1,34,0,0,0,0,0,16,0,1,20,7,0,1
2,0,1,120,6,1,0,6,5,21,1,0,17,10,85,1
4,0,1,34,0,0,0,0,0,16,0,1,20,7,0,1
2,1,1,38,1,0,0,0,0,0,1,0,15,16,0,1
1,0,0,29,0,0,0,0,0,0,0,0,21,1,0,0
2,0,1,44,0,0,0,0,0,0,0,0,23,14,0,0
5,0,1,81,0,0,0,2,1,1,0,0,8,4,61,0
2,0,1,48,0,0,0,1,0,3,1,0,22,10,8,0
3,0,5,67,0,1,0,0,0,7,1,0,10,50,0,1
3,0,3,108,0,0,0,1,0,23,0,0,10,32,14,1
2,1,5,78,4,0,0,0,0,16,1,0,25,46,0,0
4,1,4,58,0,0,0,0,0,12,1,0,30,21,0,1
3,1,2,76,1,0,0,0,0,20,1,0,20,48,0,1
17,0,2,169,0,0,0,1,0,26,0,0,12,57,92,0
4,2,1,113,1,0,12,5,4,17,1,0,19,10,76,1
3,1,3,77,7,0,0,0,0,7,1,0,23,47,0,0
4,1,4,64,0,0,0,0,0,0,0,0,24,33,0,1
1,0,5,100,7,0,0,0,0,4,0,0,7,86,0,0
4,0,1,29,0,0,0,0,0,15,0,1,19,3,0,1
3,0,1,27,0,0,0,0,0,15,0,1,15,5,0,1
3,1,4,81,2,0,0,0,0,27,0,0,19,55,0,1
1,0,1,83,8,0,0,0,0,6,0,0,16,60,0,0
3,1,1,140,4,1,0,6,5,8,0,0,14,10,108,1
1,0,2,44,2,0,0,0,0,5,1,0,8,29,0,0
1,0,2,116,10,0,0,0,0,7,1,0,18,91,0,0
3,0,1,53,0,2,0,1,0,4,0,0,13,17,15,1
1,0,3,62,1,0,0,1,0,1,1,0,15,33,6,0
2,1,2,39,0,1,0,0,0,0,1,0,16,16,0,0
3,0,1,61,0,2,0,2,1,5,0,0,13,17,23,1
1,0,3,89,11,0,0,0,0,16,1,0,8,74,0,0
3,1,0,23,0,0,0,0,0,0,0,0,16,0,0,1
1,0,3,85,6,0,0,0,0,7,0,0,19,59,0,0
2,0,5,115,0,9,0,0,0,3,1,0,14,94,0,0
3,1,7,92,3,0,0,0,0,4,1,0,29,56,0,0
1,0,0,21,0,0,0,0,0,0,0,0,14,0,0,1
2,0,5,68,1,0,0,0,0,3,0,0,15,46,0,0
5,1,4,168,0,0,0,5,4,41,0,0,26,27,107,1
4,0,1,33,0,0,0,0,0,15,0,1,19,7,0,1
1,0,5,145,15,0,0,0,0,2,0,0,17,121,0,0
2,0,3,200,3,15,0,8,7,64,1,0,12,47,133,1
3,1,4,83,4,0,0,0,0,3,1,0,17,59,0,1
